date,open,high,low,close,volume,amount,outstanding_share,turnover
2024-01-02,4.87,4.89,4.8,4.84,727450.0,3522076.0,308948044.0,0.0023546030283331395
2024-01-03,4.84,5.04,4.81,4.94,1669050.0,8218546.0,308948044.0,0.0054023646772141404
2024-01-04,4.94,5.0,4.88,4.9,1103800.0,5444440.0,308948044.0,0.003572769018728599
2024-01-05,4.96,4.97,4.87,4.9,910000.0,4467906.0,308948044.0,0.0029454790786764135
2024-01-08,4.9,4.9,4.75,4.75,1194400.0,5746630.0,308948044.0,0.003866022210517701
2024-01-09,4.75,4.77,4.68,4.75,864600.0,4079608.0,308948044.0,0.0027985288037622276
2024-01-10,4.75,4.76,4.68,4.7,389728.0,1835314.0,308948044.0,0.0012614677696421992
2024-01-11,4.7,4.79,4.66,4.78,573778.0,2710681.0,308948044.0,0.0018571990052799947
2024-01-12,4.74,4.75,4.62,4.66,2095150.0,9808135.0,308948044.0,0.006781560979877898
2024-01-15,4.62,4.68,4.59,4.63,713600.0,3305437.0,308948044.0,0.0023097734841137237
2024-01-16,4.61,4.61,4.54,4.59,655650.0,2995758.0,308948044.0,0.002122201492235374
2024-01-17,4.6,4.63,4.54,4.56,805900.0,3687014.0,308948044.0,0.002608529219236617
2024-01-18,4.57,4.59,4.33,4.33,2545200.0,11127471.0,308948044.0,0.008238278407744184
2024-01-19,4.22,4.36,4.19,4.27,788200.0,3366798.0,308948044.0,0.0025512380327612624
2024-01-22,4.26,4.26,4.06,4.06,1524800.0,6234422.0,308948044.0,0.004935457691390983
2024-01-23,4.02,4.05,3.86,3.9,4980545.0,19368694.0,308948044.0,0.01612097922846859
2024-01-24,3.89,4.07,3.89,4.06,2505045.0,9984726.0,308948044.0,0.008108305097409842
2024-01-25,4.26,4.26,4.26,4.26,496722.0,2116036.0,308948044.0,0.0016077848999102257
2024-01-26,4.47,4.47,4.47,4.47,180652.0,807514.0,308948044.0,0.0005847326225506059
2024-01-29,4.6,4.69,4.6,4.69,2740275.0,12726831.0,308948044.0,0.008869695255296713
2024-01-30,4.81,4.83,4.58,4.71,5843500.0,27549755.0,308948044.0,0.018914183512357824
2024-01-31,4.61,4.7,4.47,4.47,2813600.0,12717136.0,308948044.0,0.009107032896443908
2024-02-01,4.31,4.34,4.25,4.29,2720450.0,11615703.0,308948044.0,0.00880552588965412
2024-02-02,4.35,4.35,4.14,4.21,1349700.0,5695906.0,308948044.0,0.0043686957280105
2024-02-05,4.15,4.16,4.0,4.0,907900.0,3649893.0,308948044.0,0.002938681819264083
2024-02-06,3.8,4.03,3.8,3.98,2570100.0,9899003.0,308948044.0,0.008318874483633242
2024-02-07,3.98,4.16,3.83,3.9,1424628.0,5713599.0,308948044.0,0.004611221943842441
2024-02-08,3.9,4.02,3.71,4.02,3606128.0,13680187.0,308948044.0,0.011672279757174964
2024-02-19,4.02,4.12,4.0,4.08,2315100.0,9425597.0,308948044.0,0.007493492983564576
2024-02-20,4.09,4.28,4.02,4.28,2196000.0,9179766.0,308948044.0,0.007107991271179564
2024-02-21,4.3,4.36,4.22,4.29,1982050.0,8503496.0,308948044.0,0.006415480008670972
2024-02-22,4.27,4.32,4.16,4.22,1707400.0,7214520.0,308948044.0,0.005526495581244075
2024-02-23,4.2,4.21,4.01,4.12,4571374.0,18660253.0,308948044.0,0.014796578547038803
2024-02-26,4.08,4.32,4.07,4.23,3670324.0,15361021.0,308948044.0,0.011880068740619702
2024-02-27,4.2,4.25,4.16,4.21,3132200.0,13134458.0,308948044.0,0.010138274253000288
2024-02-28,4.17,4.22,4.0,4.0,4864074.0,19919779.0,308948044.0,0.015743987037509777
2024-02-29,3.86,4.01,3.86,3.98,4129001.0,16213413.0,308948044.0,0.013364709957509878
2024-03-01,3.98,3.98,3.83,3.93,4699477.0,18339292.0,308948044.0,0.015211221081561532
2024-03-04,3.93,3.95,3.78,3.87,3818650.0,14643663.0,308948044.0,0.012360168883283172
2024-03-05,3.88,4.06,3.84,4.06,3839988.0,15189603.0,308948044.0,0.012429235512492838
2024-03-06,4.09,4.26,4.04,4.17,7459805.0,30957838.0,308948044.0,0.024145823690665605
2024-03-07,4.15,4.24,4.08,4.14,4797650.0,19894344.0,308948044.0,0.015528986485507577
2024-03-08,4.16,4.23,4.1,4.23,4166100.0,17312613.0,308948044.0,0.013484791637004181
2024-03-11,4.44,4.44,4.41,4.44,4856850.0,21557675.0,308948044.0,0.01572060446513136
2024-03-12,4.53,4.54,4.28,4.38,7928424.0,34956102.0,308948044.0,0.02566264507568787
2024-03-13,4.41,4.48,4.32,4.35,3560515.0,15625547.0,308948044.0,0.011524640045948956
2024-03-14,4.38,4.42,4.32,4.38,2936138.0,12828069.0,308948044.0,0.009503662693523963
2024-03-15,4.36,4.41,4.31,4.4,3854203.0,16796760.0,308948044.0,0.012475246485133921
2024-03-18,4.42,4.44,4.33,4.38,2191271.0,9568599.0,308948044.0,0.007092684490341036
2024-03-19,4.37,4.59,4.35,4.52,5032189.0,22611627.0,308948044.0,0.01628814002136877
2024-03-20,4.53,4.54,4.44,4.52,2065366.0,9300744.0,308948044.0,0.006685156420669878
2024-03-21,4.51,4.53,4.42,4.49,2664645.0,11922681.0,308948044.0,0.008624896812746936
2024-03-22,4.48,4.68,4.37,4.59,4267968.0,19311343.0,308948044.0,0.01381451698072573
2024-03-25,4.55,4.65,4.52,4.53,2294800.0,10520636.0,308948044.0,0.0074277861425787175
2024-03-26,4.5,4.56,4.46,4.48,1575499.0,7089117.0,308948044.0,0.005099559717555616
